company,battalion,m4_qual_category,m4_score,BrigadeName,grade_unmapped,fms_grade_type,primary_specialty_code,billet_specialty,designation_of_duties_performed,asi_and_sqi,time_in_active_service_years,age_bracket,sex,height,weight,height_weight_pass,body_fat_percent,aft_pass,aft_score_total,aft_score_plank,aft_score_push_up,aft_score_sprint_drag_carry,aft_score_2mi_run,aft_score_alt_aerobic,aft_raw_plank,aft_raw_plank_seconds,aft_raw_deadlift,aft_deadlift_score,aft_raw_push_up,aft_raw_sprint_drag_carry,aft_raw_2mi_run,aft_raw_sprint_drag_carry_seconds,aft_raw_2mi_run_seconds,aft_raw_alt_aerobic
B,2nd Battalion,Sharpshooter,30,173rd Airborne Brigade,E2,Enlisted,42A,42A,Team Leader,P,5.2,26-30,F,68,127,TRUE,24.1,TRUE,405,90,90,70,70,90,3:09,189,283,85,57,2:28,17:29,147.8,1049,24:30
B,2nd Battalion,Sharpshooter,31,173rd Airborne Brigade,E5,Enlisted,25U,25U,Squad Leader,,20.4,41+,M,75,150,TRUE,21.8,FALSE,345,60,80,60,70,NA,1:45,105,250,75,43,2:33,16:49,153.4,1009,NA
C,1st Battalion,Sharpshooter,32,173rd Airborne Brigade,E6,Enlisted,11C,11C,Platoon Sergeant,,8.8,26-30,M,71,217,TRUE,11.2,TRUE,360,80,70,70,70,NA,2:48,168,224,70,36,2:30,17:52,149.8,1072,NA
HHC,2nd Battalion,Sharpshooter,28,173rd Airborne Brigade,E6,Enlisted,13B,13B,Medic,S,10.5,31-35,M,66,189,TRUE,10.7,TRUE,365,80,60,60,80,NA,2:43,163,281,85,25,2:41,15:42,161.2,942,NA
HHC,2nd Battalion,Sharpshooter,33,173rd Airborne Brigade,E3,Enlisted,25U,25U,Platoon Sergeant,,15.3,36-40,F,67,147,TRUE,26.9,TRUE,370,80,80,60,80,NA,2:31,151,234,70,45,2:47,15:48,166.6,948,NA
C,3rd Battalion,Sharpshooter,30,173rd Airborne Brigade,E7,Enlisted,35F,35F,Gunner,C8,24.3,41+,M,66,181,TRUE,19.9,TRUE,370,90,70,70,80,NA,3:17,197,192,60,34,2:19,14:14,138.7,854,NA
D,3rd Battalion,Marksman,22,173rd Airborne Brigade,E2,Enlisted,92Y,92Y,Rifleman,P,16.2,36-40,M,68,191,TRUE,17.7,FALSE,355,60,60,80,70,NA,1:47,107,283,85,25,1:58,16:17,117.7,977,NA
HHC,3rd Battalion,Marksman,26,173rd Airborne Brigade,E3,Enlisted,68W,68W,Rifleman,B4,10.1,31-35,M,71,154,TRUE,16.3,FALSE,383,90,70,80,90,77,3:01,181,160,53,34,1:52,13:52,111.5,832,24:30
A,1st Battalion,Expert,36,173rd Airborne Brigade,E5,Enlisted,11C,11C,Squad Leader,,7.8,26-30,M,72,163,TRUE,17.6,FALSE,347,80,70,57,60,NA,2:52,172,272,80,39,3:02,18:41,182.1,1121,NA
D,3rd Battalion,Expert,38,173rd Airborne Brigade,E2,Enlisted,42A,42A,Supply Specialist,,15.9,36-40,M,68,203,TRUE,23,TRUE,400,90,70,70,100,89,3:20,200,223,70,39,2:20,12:19,139.8,739,21:00
A,3rd Battalion,Sharpshooter,28,173rd Airborne Brigade,E9,Enlisted,25B,25B,Supply Specialist,,1.3,18-21,F,66,122,TRUE,28.2,TRUE,365,80,80,60,70,NA,2:59,179,249,75,48,2:33,16:19,152.7,979,NA
A,2nd Battalion,Expert,37,173rd Airborne Brigade,E6,Enlisted,88M,88M,Gunner,,1.8,18-21,M,71,166,TRUE,12.8,TRUE,390,80,90,70,70,NA,2:36,156,261,80,53,2:25,16:59,144.7,1019,NA
HHC,3rd Battalion,Sharpshooter,28,173rd Airborne Brigade,E5,Enlisted,13B,13B,Gunner,,1.4,18-21,M,68,198,TRUE,20.1,TRUE,365,70,80,80,60,NA,2:22,142,241,75,48,2:07,18:58,127.3,1138,NA
C,2nd Battalion,Expert,39,173rd Airborne Brigade,E7,Enlisted,88M,88M,Team Leader,,14.6,31-35,M,71,196,TRUE,22.6,FALSE,398,43,90,80,100,NA,1:05,65,287,85,52,1:55,11:15,114.8,675,NA
A,1st Battalion,Expert,35,173rd Airborne Brigade,E4,Enlisted,31B,31B,Driver,,14.2,31-35,M,70,192,TRUE,13.5,TRUE,360,80,90,60,60,NA,2:47,167,224,70,51,2:41,18:41,161.1,1121,NA
B,1st Battalion,Sharpshooter,30,173rd Airborne Brigade,E4,Enlisted,11B,11B,Platoon Sergeant,B4,5.5,26-30,F,66,133,TRUE,9.3,FALSE,379,90,80,70,80,NA,3:03,183,176,59,42,2:20,14:37,139.8,877,NA
HHC,1st Battalion,Sharpshooter,30,173rd Airborne Brigade,E4,Enlisted,88M,88M,Team Leader,S,15.2,36-40,M,69,160,FALSE,26.9,FALSE,343,60,90,53,60,78,1:57,117,277,80,51,3:05,18:28,184.6,1108,15:00
A,1st Battalion,Expert,38,173rd Airborne Brigade,E6,Enlisted,11B,11B,Supply Specialist,,6.6,26-30,M,69,211,TRUE,19.1,FALSE,340,60,80,60,80,NA,1:59,119,197,60,40,2:38,14:38,157.8,878,NA
HHC,3rd Battalion,Sharpshooter,27,173rd Airborne Brigade,E6,Enlisted,92Y,92Y,Squad Leader,V,9.4,26-30,M,68,177,TRUE,18.2,TRUE,385,80,80,60,90,NA,2:56,176,244,75,49,2:31,13:23,150.7,803,NA
HHC,1st Battalion,Expert,36,173rd Airborne Brigade,E6,Enlisted,11B,11B,Driver,,24.3,41+,M,63,194,FALSE,30.4,TRUE,395,90,60,80,80,NA,3:02,182,283,85,29,2:04,15:37,124.4,937,NA
A,3rd Battalion,Expert,36,173rd Airborne Brigade,E4,Enlisted,11B,11B,Rifleman,,12.3,31-35,M,73,206,TRUE,12.5,FALSE,330,60,70,60,80,NA,1:54,114,197,60,33,2:34,14:31,153.9,871,NA
B,1st Battalion,Marksman,22,173rd Airborne Brigade,E3,Enlisted,25B,25B,Admin,S,22,41+,M,69,181,TRUE,20.3,TRUE,380,70,70,90,80,NA,2:16,136,232,70,39,1:38,15:47,98.5,947,NA
C,1st Battalion,Marksman,23,173rd Airborne Brigade,E3,Enlisted,42A,42A,Admin,,20.7,41+,M,65,146,TRUE,10.2,FALSE,350,70,70,80,60,NA,2:15,135,233,70,38,1:56,19:11,116.2,1151,NA
B,2nd Battalion,Marksman,22,173rd Airborne Brigade,E7,Enlisted,13B,13B,Gunner,T,6.1,26-30,M,73,146,TRUE,23.9,TRUE,395,90,90,70,70,NA,3:37,217,249,75,51,2:11,16:21,130.9,981,NA
B,1st Battalion,Marksman,23,173rd Airborne Brigade,E4,Enlisted,19D,19D,Gunner,,11.4,31-35,M,73,173,TRUE,10.9,TRUE,380,80,100,70,70,98,2:34,154,197,60,70,2:20,16:41,139.9,1001,24:30
A,2nd Battalion,Expert,35,173rd Airborne Brigade,E2,Enlisted,42A,42A,Platoon Sergeant,S,20.8,41+,M,70,184,TRUE,16.6,FALSE,355,60,80,60,80,NA,1:56,116,247,75,44,2:30,14:50,150.3,890,NA
C,3rd Battalion,Expert,38,173rd Airborne Brigade,E1,Enlisted,25B,25B,Supply Specialist,B4,23.1,41+,M,73,138,TRUE,13,TRUE,375,70,70,90,80,NA,2:17,137,217,65,39,1:48,15:59,108.3,959,NA
A,1st Battalion,Sharpshooter,29,173rd Airborne Brigade,W1,Warrant,31B,31B,Admin,,21.1,41+,M,68,211,TRUE,18.1,TRUE,365,60,70,90,70,NA,1:43,103,246,75,39,1:49,16:27,108.6,987,NA
HHC,3rd Battalion,Expert,38,173rd Airborne Brigade,E3,Enlisted,35F,35F,Rifleman,,20,41+,M,68,207,TRUE,17.7,TRUE,425,90,80,70,100,NA,3:24,204,282,85,41,2:25,12:43,145,763,NA
