Group,Year,Month,DayOfWeek,Wounded,Killed,Weapon,Region,Country,Target,MaleAttackers,FemaleAttackers
Hamas,2003,1,5,4,0,Boat bomb,Asia,Palestine,Security,1,0
Taliban (IEA),2010,10,6,0,1,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,11,4,5,12,Unspecified,Asia,Pakistan,Security,1,0
Unknown Group,2015,2,5,30,8,Belt bomb,Asia,China,Security,1,0
Taliban (IEA),2008,7,2,5,0,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,8,3,6,6,Car bomb,Asia,Afghanistan,Security,1,0
Jaish Ansar al-Sunnah,2004,6,4,3,7,Belt bomb,Asia,Iraq,Security,1,0
Soldiers of the Prophet's Companions Group,2006,8,4,122,35,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,1,5,3,0,Belt bomb,Asia,Afghanistan,Political,1,0
Lebanese National Resistance Front,1985,3,2,1,3,Car bomb,Asia,Lebanon,Security,1,0
Amal,1985,3,2,1,3,Car bomb,Asia,Lebanon,Security,1,0
Unknown Group,2007,3,5,115,2,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,7,3,0,0,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2006,10,4,9,0,Other PBIED,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2017,11,2,8,0,Belt bomb,Africa,Nigeria,Civilian,0,2
Unknown Group,2008,7,4,24,8,Belt bomb,Asia,Iraq,Security,0,1
Islamic State of Iraq,2013,2,6,6,2,Car bomb,Asia,Iraq,Political,1,0
Liberation Tigers of Tamil Eelam,2001,9,6,43,11,Boat bomb,Asia,Sri Lanka,Security,3,0
Boko Haram (Shekau Faction),2017,6,3,12,3,Belt bomb,Africa,Nigeria,Security,1,0
Islamic State East Asia Province,2018,5,7,14,4,Motorcycle bomb,Asia,Indonesia,Civilian,2,0
Taliban (IEA),2011,2,6,73,40,Belt bomb,Asia,Afghanistan,Security,2,0
Unknown Group,2006,11,5,2,1,Belt bomb,Asia,Pakistan,Security,1,0
Chechen Republic of Ichkeria,2000,12,5,9,1,Truck bomb,Europe,Russia,Security,1,0
Unknown Group,2008,12,1,3,2,Belt bomb,Asia,Iraq,Security,0,1
Unknown Group,2006,8,7,25,2,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,1,7,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2017,9,3,3,5,Belt bomb,Africa,Cameroon,Civilian,0,1
Taliban (IEA),2010,6,5,14,4,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,5,5,51,21,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2018,8,1,1,1,Unspecified PBIED,Asia,Afghanistan,Political,1,0
Unknown Group,2009,6,6,4,2,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2016,1,2,3,2,Car bomb,Asia,Iraq,Security,1,0
Islamic State - Khorasan Province,2017,12,7,57,9,Other PBIED,Asia,Pakistan,Civilian,2,0
Taliban (IEA),2016,1,3,25,7,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Lashkar-e Jhangvi al-Almi,2005,5,1,30,6,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2008,6,2,7,3,Car bomb,Asia,Iraq,Security,1,0
Hamas,1997,9,4,172,7,Belt bomb,Asia,Israel,Civilian,3,0
Syrian Social Nationalist Party,1985,4,2,2,2,Car bomb,Asia,Lebanon,Security,0,1
Taliban (IEA),2007,3,4,1,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2013,10,3,0,0,Belt bomb,Asia,Pakistan,Political,1,0
Unknown Group,2008,6,6,40,0,Belt bomb,Asia,Iraq,Civilian,0,1
Arab Socialist Ba'ath Party - Lebanon,1986,4,2,6,15,Car bomb,Asia,Lebanon,Security,1,0
Taliban (IEA),2011,12,2,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2018,5,5,4,2,Belt bomb,Africa,Nigeria,Civilian,0,2
Taliban (IEA),2015,7,2,1,1,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Al-Aqsa Martyrs Brigade,2002,4,1,3,1,Car bomb,Asia,Israel,Security,1,0
Islamic State Yemen,2016,1,5,7,7,Car bomb,Asia,Yemen,Security,1,0
Palestinian Islamic Jihad,2002,3,3,30,7,Belt bomb,Asia,Israel,Civilian,1,0
Taliban (IEA),2008,5,5,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2004,7,6,20,2,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,3,4,8,2,Belt bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2010,9,5,3,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,9,4,7,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State of Iraq,2008,3,7,45,15,Truck bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,8,1,11,11,Belt bomb,Asia,Iraq,Civilian,1,0
Jamaat-ul-Ahrar,2016,3,1,31,17,Belt bomb,Asia,Pakistan,Political,1,0
Boko Haram (Shekau Faction),2018,1,3,0,0,Unspecified PBIED,Africa,Nigeria,Civilian,1,0
Islamic State,2015,7,2,11,4,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2015,10,6,400,102,Belt bomb,Asia,Turkey,Political,2,0
Unknown Group,2006,11,1,12,10,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2014,2,3,12,5,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2014,10,4,75,47,Belt bomb,Asia,Yemen,Security,1,0
Islamic State Yemen,2016,2,7,49,14,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2016,8,2,11,3,Belt bomb,Asia,Iraq,Civilian,1,0
Islamic State,2015,5,6,24,12,Truck bomb,Asia,Iraq,Security,1,0
Chechen Republic of Ichkeria,2001,9,1,0,1,Car bomb,Europe,Russia,Political,1,0
Unknown Group,2005,1,5,4,6,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,7,4,3,3,Belt bomb,Asia,Pakistan,Political,1,0
Unknown Group,2010,2,4,26,13,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2018,12,3,3,4,Car bomb,Asia,Syria,Security,2,0
Unknown Group,2012,9,1,19,4,Car bomb,Asia,Pakistan,Political,1,0
Islamic State - Cyrenaica Province,2015,8,7,21,10,Car bomb,Africa,Libya,Security,1,0
Unknown Group,2007,9,7,15,5,Truck bomb,Asia,Iraq,Security,1,0
Hamas,2003,5,4,65,3,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,2008,3,1,0,4,Belt bomb,Asia,Iraq,Security,0,1
Unknown Group,2011,4,5,10,1,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2007,2,4,12,6,Truck bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda Central,1998,8,5,5000,213,Truck bomb,Africa,Kenya,Political,1,0
Al-Qaeda in the Arabian Peninsula,2011,8,7,0,4,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2016,10,7,12,4,Unspecified PBIED,Asia,Iraq,Civilian,1,0
Taliban (IEA),2006,2,2,13,14,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2017,9,5,4,4,Belt bomb,Africa,Somalia,Civilian,1,0
Unknown Group,2014,4,1,7,3,Car bomb,Asia,Iraq,Security,1,0
Islamic State of Iraq and Syria,2013,6,5,31,11,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2009,2,5,80,40,Belt bomb,Asia,Iraq,Civilian,0,1
Al-Aqsa Martyrs Brigade,2002,3,4,87,3,Belt bomb,Asia,Israel,Civilian,1,0
Unknown Group,1999,3,1,7,0,Other PBIED,Europe,Finland,Political,1,0
Islamic State of Iraq,2009,8,5,276,37,Truck bomb,Asia,Iraq,Civilian,1,0
Islamic State of Iraq,2012,2,7,28,20,Car bomb,Asia,Iraq,Security,1,0
Caucasus Emirate,2013,12,7,44,18,Belt bomb,Europe,Russia,Civilian,1,0
Al-Shabaab,2016,7,2,0,14,Car bomb,Africa,Somalia,Security,1,0
Islamic State of Iraq and Syria,2014,4,3,101,21,Car bomb,Asia,Syria,Civilian,1,0
Al-Qaeda in Iraq,2005,9,7,12,13,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2009,12,2,2,4,Motorcycle bomb,Asia,Afghanistan,Security,2,0
Unknown Group,2017,10,3,0,0,Belt bomb,Africa,Nigeria,Civilian,0,1
Lebanese National Resistance Front,1985,8,2,1,0,Animal bomb,Asia,Lebanon,Security,1,0
Lebanese Communist Party,1985,8,2,1,0,Animal bomb,Asia,Lebanon,Security,1,0
Taliban (IEA),2008,9,7,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State,2014,10,1,34,15,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2017,8,2,8,5,Unspecified PBIED,Asia,Afghanistan,Civilian,1,0
Unknown Group,2007,5,1,25,8,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2015,3,3,9,5,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2017,7,4,9,3,Belt bomb,Asia,Syria,Civilian,1,0
Unknown Group,2012,9,1,20,15,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2009,4,5,125,71,Belt bomb,Asia,Iraq,Civilian,0,2
Lebanese National Resistance Front,1985,3,7,14,12,Truck bomb,Asia,Lebanon,Security,1,0
Islamic Jihad Organization (Hezbollah),1985,3,7,14,12,Truck bomb,Asia,Lebanon,Security,1,0
Unknown Group,2014,5,2,43,20,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2011,9,4,75,31,Belt bomb,Asia,Pakistan,Security,1,0
Unknown Group,2003,8,5,82,50,Truck bomb,Europe,Russia,Security,1,0
Islamic State of Iraq,2007,3,2,347,152,Truck bomb,Asia,Iraq,Civilian,2,0
Boko Haram,2014,11,2,54,78,Belt bomb,Africa,Nigeria,Civilian,0,2
Tehrik-i-Taliban Pakistan,2016,1,2,39,12,Motorcycle bomb,Asia,Pakistan,Security,1,0
Al-Shabaab,2017,6,4,20,24,Car bomb,Africa,Somalia,Security,1,0
Hamas,2002,11,4,48,11,Belt bomb,Asia,Israel,Civilian,1,0
Boko Haram,2012,8,7,9,9,Car bomb,Africa,Nigeria,Security,1,0
Taliban (IEA),2008,7,6,6,7,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2013,11,3,18,11,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,12,2,0,1,Belt bomb,Africa,Egypt,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2012,10,1,50,24,Car bomb,Asia,Syria,Security,1,0
Unknown Group,2006,7,6,40,8,Car bomb,Asia,Afghanistan,Security,2,0
Islamic State,2014,11,1,4,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2008,11,1,15,7,Other PBIED,Asia,Iraq,Security,0,1
Unknown Group,2012,1,2,16,14,Car bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda in Iraq,2005,2,5,40,14,Truck bomb,Asia,Iraq,Civilian,1,0
Islamic State,2017,7,1,3,1,Unspecified PBIED,Asia,Iraq,Security,0,1
Taliban (IEA),2010,10,4,0,1,Other PBIED,Asia,Afghanistan,Security,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2014,1,1,0,0,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2007,5,2,50,22,Car bomb,Asia,Iraq,Security,1,0
Islamic State,2014,11,2,0,11,Belt bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2007,7,2,3,0,Motorcycle bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,3,7,1,2,Car bomb,Asia,Afghanistan,Political,2,0
Islamic State - Khorasan Province,2018,1,4,22,13,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,11,6,12,0,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,5,1,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Al-Qaeda in the Arabian Peninsula,2008,7,5,20,20,Car bomb,Asia,Yemen,Security,1,0
Taliban (IEA),2009,12,4,4,16,Motorcycle bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2006,1,7,6,4,Car bomb,Asia,Iraq,Security,1,0
Boko Haram (Shekau Faction),2018,5,2,29,43,Unspecified PBIED,Africa,Nigeria,Civilian,1,0
Islamic State,2019,10,2,7,7,Belt bomb,Asia,Syria,Security,1,0
Islamic State - Khorasan Province,2018,10,1,6,2,Unspecified PBIED,Asia,Afghanistan,Political,1,0
Unknown Group,2003,9,1,19,1,Car bomb,Asia,Iraq,Political,1,0
Unknown Group,2015,11,3,53,15,Belt bomb,Africa,Nigeria,Civilian,0,2
Unknown Group,2007,3,2,32,17,Car bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2004,10,6,8,2,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2009,6,1,7,2,Car bomb,Asia,Pakistan,Security,1,0
Tehrik-i-Taliban Pakistan,2011,1,2,70,17,Belt bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2013,11,4,41,40,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2005,4,4,20,4,Car bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2019,9,1,3,3,Motorcycle bomb,Asia,Pakistan,Security,1,0
Unknown Group,2010,6,3,5,1,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,4,1,20,10,Car bomb,Asia,Iraq,Political,1,0
Unknown Group,2011,11,1,7,0,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State - Cyrenaica Province,2015,5,2,8,1,Car bomb,Africa,Libya,Security,1,0
Al-Shabaab,2007,4,2,0,0,Car bomb,Africa,Somalia,Security,1,0
Taliban (IEA),2007,3,2,0,4,Belt bomb,Asia,Afghanistan,Security,1,0
Ansar al-Sunna,2003,12,2,59,0,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2017,11,5,5,1,Car bomb,Asia,Afghanistan,Security,1,0
Liberation Tigers of Tamil Eelam,1993,5,6,60,24,Belt bomb,Asia,Sri Lanka,Political,1,0
Boko Haram (Shekau Faction),2017,4,3,6,1,Belt bomb,Africa,Nigeria,Civilian,1,0
Jabhat an-Nu_rah li-Ahl ash-Sh_m,2014,12,7,0,0,Truck bomb,Asia,Syria,Security,1,0
Unknown Group,2010,7,1,0,0,Belt bomb,Asia,Pakistan,Political,1,0
Taliban (IEA),2017,9,7,5,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State - Khorasan Province,2017,5,3,24,6,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2018,8,6,7,10,Unspecified PBIED,Africa,Nigeria,Civilian,0,2
Taliban (IEA),2014,12,4,10,1,Belt bomb,Asia,Afghanistan,Civilian,1,0
Unknown Group,2007,11,7,7,6,Belt bomb,Asia,Iraq,Security,1,0
Al-Shabaab,2007,3,1,0,2,Car bomb,Africa,Somalia,Security,1,0
Caucasus Emirate,2009,8,5,1,2,Motorcycle bomb,Europe,Russia,Security,0,1
Unknown Group,2010,2,5,35,4,Belt bomb,Asia,Iraq,Civilian,0,1
Islamic State of Iraq,2009,9,7,7,3,Car bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2009,3,7,6,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2010,12,7,8,8,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2002,2,5,4,1,Belt bomb,Asia,China,Civilian,1,0
Al-Qaeda in the Arabian Peninsula,2010,4,1,3,1,Belt bomb,Asia,Yemen,Political,1,0
Unknown Group,2017,7,1,9,4,Belt bomb,Asia,Iraq,Civilian,0,1
Unknown Group,2009,7,7,12,3,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2006,1,4,100,70,Belt bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2008,5,6,6,2,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2008,8,5,40,9,Car bomb,Asia,Iraq,Civilian,1,0
Unknown Group,2006,1,1,7,5,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2007,7,4,13,7,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,12,4,15,11,Belt bomb,Asia,Iraq,Security,1,0
Kurdistan Workers' Party,1999,4,4,9,1,Belt bomb,Asia,Turkey,Political,1,0
Al-Qaeda in the Land of the Islamic Maghreb,2011,8,6,0,18,Boat bomb,Africa,Algeria,Security,2,0
Unknown Group,2006,8,5,12,10,Car bomb,Asia,Iraq,Security,1,0
Palestinian Islamic Jihad,2001,10,7,0,1,Car bomb,Asia,Israel,Civilian,1,0
Hamas,2001,10,7,0,1,Car bomb,Asia,Israel,Civilian,1,0
Unknown Group,2010,10,2,17,3,Belt bomb,Europe,Russia,Political,3,0
Unknown Group,2010,2,7,2,1,Belt bomb,Asia,Iraq,Civilian,1,0
Taliban (IEA),2006,7,3,11,1,Car bomb,Asia,Afghanistan,Security,1,0
Al-Shabaab,2011,10,2,150,100,Car bomb,Africa,Somalia,Political,1,0
Unknown Group,2013,5,6,18,1,Belt bomb,Europe,Russia,Security,0,1
Riyadus Salikhiin,2003,6,5,39,6,Truck bomb,Europe,Russia,Political,1,1
Unknown Group,2005,7,3,2,2,Motorcycle bomb,Asia,Iraq,Security,1,0
Taliban (IEA),2006,4,5,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,10,5,3,2,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2016,1,5,30,18,Belt bomb,Africa,Nigeria,Civilian,1,0
Taliban (IEA),2006,11,2,1,0,Car bomb,Asia,Afghanistan,Security,1,0
Boko Haram (Shekau Faction),2017,3,3,6,1,Unspecified,Africa,Nigeria,Civilian,1,0
Unknown Group,2017,10,7,5,13,Belt bomb,Africa,Nigeria,Civilian,1,0
Islamic State Yemen,2016,12,6,29,48,Belt bomb,Asia,Yemen,Security,1,0
Unknown Group,2004,12,5,0,2,Car bomb,Asia,Iraq,Security,1,0
Al-Qaeda in Iraq,2005,1,1,10,2,Car bomb,Asia,Iraq,Political,1,0
Hamas,2002,6,2,70,19,Belt bomb,Asia,Israel,Civilian,1,0
Islamic State West Africa Province,2015,5,4,12,6,Belt bomb,Africa,Nigeria,Security,0,3
Unknown Group,2012,3,4,3,1,Car bomb,Asia,Pakistan,Security,1,0
Taliban (IEA),2011,2,1,2,2,Belt bomb,Asia,Afghanistan,Civilian,1,0
Taliban (IEA),2011,6,6,12,9,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2011,2,1,5,3,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2012,11,4,0,2,Car bomb,Asia,Pakistan,Security,2,0
Unknown Group,2010,11,7,0,0,Belt bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2007,7,5,1,4,Motorcycle bomb,Asia,Pakistan,Security,1,0
Liberation Tigers of Tamil Eelam,2008,2,7,1,2,Motorcycle bomb,Asia,Sri Lanka,Security,1,0
Riyadus Salikhiin,2004,8,2,0,46,Belt bomb,Europe,Russia,Civilian,0,1
Islambouli Brigades of Al Qaeda,2004,8,2,0,46,Belt bomb,Europe,Russia,Civilian,0,1
Unknown Group,2015,11,6,6,5,Belt bomb,Africa,Cameroon,Civilian,0,1
Unknown Group,2008,4,2,5,1,Belt bomb,Asia,Iraq,Security,0,1
Al-Qaeda in the Land of the Islamic Maghreb,2007,4,3,44,11,Truck bomb,Africa,Algeria,Security,1,0
Islamic State East Asia Province,2018,5,7,14,4,Car bomb,Asia,Indonesia,Civilian,1,0
Jamaah Ansharut Daulah,2018,5,7,14,4,Car bomb,Asia,Indonesia,Civilian,1,0
Unknown Group,2017,8,1,2,0,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2009,10,5,103,49,Car bomb,Asia,Pakistan,Civilian,1,0
Unknown Group,2009,9,1,22,7,Belt bomb,Asia,Iraq,Civilian,1,0
Al-Qaeda in Iraq,2005,11,3,40,20,Belt bomb,Asia,Jordan,Civilian,1,0
Al-Qaeda in Iraq,2005,8,2,20,7,Belt bomb,Asia,Iraq,Security,1,0
Tehrik-i-Taliban Pakistan,2015,4,4,3,2,Car bomb,Asia,Pakistan,Political,1,0
Islamic State,2015,8,1,72,35,Car bomb,Asia,Iraq,Civilian,1,0
Palestinian Islamic Jihad,2001,5,5,65,2,Car bomb,Asia,Israel,Civilian,2,0
Taliban (IEA),2010,4,2,35,4,Belt bomb,Asia,Afghanistan,Security,1,0
Taliban (IEA),2008,11,4,16,12,Truck bomb,Asia,Afghanistan,Political,1,0
Unknown Group,2006,10,3,0,0,Car bomb,Asia,Afghanistan,Security,1,0
Islamic State,2014,6,3,34,31,Belt bomb,Asia,Iraq,Political,1,0
Taliban (IEA),2007,8,1,3,0,Car bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2011,1,1,18,3,Car bomb,Asia,Iraq,Security,1,0
Palestinian Islamic Jihad,1995,1,7,50,21,Belt bomb,Asia,Israel,Civilian,2,0
Unknown Group,2005,1,6,0,8,Belt bomb,Asia,Iraq,Security,1,0
Unknown Group,2015,6,1,8,8,Belt bomb,Africa,Nigeria,Security,1,0
Taliban (IEA),2012,5,3,0,7,Car bomb,Asia,Afghanistan,Political,1,0
Taliban (IEA),2007,12,1,8,4,Belt bomb,Asia,Afghanistan,Security,1,0
Islamic State of Iraq,2011,3,2,97,58,Belt bomb,Asia,Iraq,Political,1,0
Islamic State of Iraq and Syria,2014,4,4,5,10,Car bomb,Asia,Syria,Security,1,0
Taliban (IEA),2015,5,1,15,1,Belt bomb,Asia,Afghanistan,Political,1,0
Islamic State of Iraq,2010,7,1,5,4,Car bomb,Asia,Iraq,Security,1,0
Unknown Group,2006,6,1,0,0,Motorcycle bomb,Asia,Afghanistan,Security,1,0
Unknown Group,2010,11,2,5,1,Belt bomb,Asia,Afghanistan,Political,1,0
Amal,1985,2,2,100,100,Car bomb,Asia,Lebanon,Security,1,0
